"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,1043,1,"glmnet",1001,31481638,0.757675438596491,0.5
"2",2,1043,2,"glmnet",1001,17994618,0.759868421052632,0.5
"3",3,1043,3,"glmnet",1001,21350444,0.755482456140351,0.5
"4",4,1043,4,"glmnet",1001,16915257,0.753289473684211,0.5
"5",5,1043,5,"glmnet",1001,16532173,0.75,0.5
"6",6,1043,6,"glmnet",1001,18505500,0.777412280701754,0.5
"7",7,1043,7,"glmnet",1001,26126060,0.755482456140351,0.5
"8",8,1043,8,"glmnet",1001,16374141,0.768640350877193,0.5
"9",9,1043,9,"glmnet",1001,18734274,0.759868421052632,0.5
"10",10,1043,10,"glmnet",1001,15092885,0.744517543859649,0.5
"11",11,1043,11,"glmnet",1001,15258509,0.744517543859649,0.5
"12",12,1043,12,"glmnet",1001,18935772,0.755482456140351,0.5
"13",13,1043,13,"glmnet",1001,15077020,0.756578947368421,0.5
"14",14,1043,14,"glmnet",1001,20503365,0.742324561403509,0.5
"15",15,1043,15,"glmnet",1001,22206102,0.745614035087719,0.5
"16",16,1043,16,"glmnet",1001,18860570,0.721491228070175,0.5
"17",17,1043,17,"glmnet",1001,21422829,0.763157894736842,0.5
"18",18,1043,18,"glmnet",1001,17796164,0.735745614035088,0.5
"19",19,1043,19,"glmnet",1001,14897097,0.736842105263158,0.5
"20",20,1043,20,"glmnet",1001,17387164,0.742324561403509,0.5
"21",21,1043,1,"glmnet",1002,127968492,0.855263157894737,0.908919462252228
"22",22,1043,2,"glmnet",1002,124163728,0.841008771929825,0.895227552761799
"23",23,1043,3,"glmnet",1002,125877255,0.843201754385965,0.898872089920402
"24",24,1043,4,"glmnet",1002,146579654,0.850877192982456,0.906349668445738
"25",25,1043,5,"glmnet",1002,148026853,0.833333333333333,0.893492869600903
"26",26,1043,6,"glmnet",1002,96726954,0.854166666666667,0.885907439187922
"27",27,1043,7,"glmnet",1002,118354511,0.859649122807018,0.906760301209916
"28",28,1043,8,"glmnet",1002,165660746,0.860745614035088,0.905470181392865
"29",29,1043,9,"glmnet",1002,111894629,0.845394736842105,0.896663965157116
"30",30,1043,10,"glmnet",1002,121856855,0.839912280701754,0.904195136751218
"31",31,1043,11,"glmnet",1002,109141751,0.822368421052632,0.883191009247378
"32",32,1043,12,"glmnet",1002,132822530,0.851973684210526,0.893548198142495
"33",33,1043,13,"glmnet",1002,166472127,0.842105263157895,0.896291944118031
"34",34,1043,14,"glmnet",1002,145420920,0.845394736842105,0.89713064521198
"35",35,1043,15,"glmnet",1002,113870680,0.846491228070175,0.911035750507099
"36",36,1043,16,"glmnet",1002,160438437,0.828947368421053,0.891014288107604
"37",37,1043,17,"glmnet",1002,137316414,0.837719298245614,0.885622871434653
"38",38,1043,18,"glmnet",1002,180857040,0.845394736842105,0.89391568909969
"39",39,1043,19,"glmnet",1002,112242414,0.831140350877193,0.882409474206349
"40",40,1043,20,"glmnet",1002,126034523,0.822368421052632,0.889663408655206
"41",41,1043,1,"glmnet",1003,15415330,0.757675438596491,0.5
"42",42,1043,2,"glmnet",1003,17993565,0.759868421052632,0.5
"43",43,1043,3,"glmnet",1003,16444120,0.755482456140351,0.5
"44",44,1043,4,"glmnet",1003,17686678,0.753289473684211,0.5
"45",45,1043,5,"glmnet",1003,14943358,0.75,0.5
"46",46,1043,6,"glmnet",1003,17858602,0.777412280701754,0.5
"47",47,1043,7,"glmnet",1003,15197431,0.755482456140351,0.5
"48",48,1043,8,"glmnet",1003,15084781,0.768640350877193,0.5
"49",49,1043,9,"glmnet",1003,17110419,0.759868421052632,0.5
"50",50,1043,10,"glmnet",1003,15142007,0.744517543859649,0.5
"51",51,1043,11,"glmnet",1003,15208248,0.744517543859649,0.5
"52",52,1043,12,"glmnet",1003,16251584,0.755482456140351,0.5
"53",53,1043,13,"glmnet",1003,15773478,0.756578947368421,0.5
"54",54,1043,14,"glmnet",1003,15297509,0.742324561403509,0.5
"55",55,1043,15,"glmnet",1003,17845291,0.745614035087719,0.5
"56",56,1043,16,"glmnet",1003,17201356,0.721491228070175,0.5
"57",57,1043,17,"glmnet",1003,15111304,0.763157894736842,0.5
"58",58,1043,18,"glmnet",1003,16842845,0.735745614035088,0.5
"59",59,1043,19,"glmnet",1003,15108412,0.736842105263158,0.5
"60",60,1043,20,"glmnet",1003,17535437,0.742324561403509,0.5
"61",61,1043,1,"glmnet",1004,15135283,0.757675438596491,0.5
"62",62,1043,2,"glmnet",1004,15174904,0.759868421052632,0.5
"63",63,1043,3,"glmnet",1004,15160550,0.755482456140351,0.5
"64",64,1043,4,"glmnet",1004,15776808,0.753289473684211,0.5
"65",65,1043,5,"glmnet",1004,15211598,0.75,0.5
"66",66,1043,6,"glmnet",1004,17374837,0.777412280701754,0.5
"67",67,1043,7,"glmnet",1004,17115985,0.755482456140351,0.5
"68",68,1043,8,"glmnet",1004,14924831,0.768640350877193,0.5
"69",69,1043,9,"glmnet",1004,17416700,0.759868421052632,0.5
"70",70,1043,10,"glmnet",1004,18136321,0.744517543859649,0.5
"71",71,1043,11,"glmnet",1004,15850846,0.744517543859649,0.5
"72",72,1043,12,"glmnet",1004,16856814,0.755482456140351,0.5
