"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,333,1,"glmnet",1001,16369796,0.495495495495495,0.5
"2",2,333,2,"glmnet",1001,15458302,0.468468468468468,0.5
"3",3,333,3,"glmnet",1001,15861579,0.459459459459459,0.5
"4",4,333,4,"glmnet",1001,14979436,0.432432432432432,0.5
"5",5,333,5,"glmnet",1001,14686380,0.432432432432432,0.5
"6",6,333,6,"glmnet",1001,15042435,0.459459459459459,0.5
"7",7,333,7,"glmnet",1001,15902286,0.423423423423423,0.5
"8",8,333,8,"glmnet",1001,15384315,0.468468468468468,0.5
"9",9,333,9,"glmnet",1001,16251187,0.495495495495495,0.5
"10",10,333,10,"glmnet",1001,15145896,0.486486486486487,0.5
"11",11,333,11,"glmnet",1001,14758654,0.468468468468468,0.5
"12",12,333,12,"glmnet",1001,15062368,0.459459459459459,0.5
"13",13,333,13,"glmnet",1001,15200043,0.477477477477477,0.5
"14",14,333,14,"glmnet",1001,10387593,0.468468468468468,0.5
"15",15,333,15,"glmnet",1001,13922494,0.423423423423423,0.5
"16",16,333,16,"glmnet",1001,10610541,0.477477477477477,0.5
"17",17,333,17,"glmnet",1001,10295759,0.432432432432432,0.5
"18",18,333,18,"glmnet",1001,16073064,0.459459459459459,0.5
"19",19,333,19,"glmnet",1001,17469160,0.486486486486487,0.5
"20",20,333,20,"glmnet",1001,13083462,0.495495495495495,0.5
"21",21,333,1,"glmnet",1002,19567884,0.72972972972973,0.676623376623377
"22",22,333,2,"glmnet",1002,17635085,0.765765765765766,0.723435462842242
"23",23,333,3,"glmnet",1002,18018849,0.765765765765766,0.716013071895425
"24",24,333,4,"glmnet",1002,18696822,0.702702702702703,0.708994708994709
"25",25,333,5,"glmnet",1002,20830644,0.765765765765766,0.666666666666667
"26",26,333,6,"glmnet",1002,19486026,0.684684684684685,0.613235294117647
"27",27,333,7,"glmnet",1002,17908500,0.72972972972973,0.733377659574468
"28",28,333,8,"glmnet",1002,17550817,0.783783783783784,0.771512385919166
