"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,1570,1,"glmnet",1001,11353881,0.937952430196484,0.5
"2",2,1570,2,"glmnet",1001,10794721,0.94105480868666,0.5
"3",3,1570,3,"glmnet",1001,20053576,0.955532574974147,0.5
"4",4,1570,4,"glmnet",1001,13788514,0.945191313340228,0.5
"5",5,1570,5,"glmnet",1001,13839654,0.934850051706308,0.5
"6",6,1570,6,"glmnet",1001,13963815,0.949327817993795,0.5
"7",7,1570,7,"glmnet",1001,13799894,0.94105480868666,0.5
"8",8,1570,8,"glmnet",1001,13190235,0.947259565667011,0.5
"9",9,1570,9,"glmnet",1001,13787001,0.944157187176836,0.5
"10",10,1570,10,"glmnet",1001,13621314,0.953464322647363,0.5
"11",11,1570,11,"glmnet",1001,13820387,0.954498448810755,0.5
"12",12,1570,12,"glmnet",1001,13657911,0.949327817993795,0.5
"13",13,1570,13,"glmnet",1001,13907600,0.940020682523268,0.5
"14",14,1570,14,"glmnet",1001,13491007,0.945191313340228,0.5
"15",15,1570,15,"glmnet",1001,13308562,0.943123061013444,0.5
"16",16,1570,16,"glmnet",1001,13995036,0.943123061013444,0.5
"17",17,1570,17,"glmnet",1001,14060111,0.940020682523268,0.5
"18",18,1570,18,"glmnet",1001,13845362,0.944157187176836,0.5
"19",19,1570,19,"glmnet",1001,14637981,0.951396070320579,0.5
"20",20,1570,20,"glmnet",1001,14066921,0.934850051706308,0.5
"21",21,1570,1,"glmnet",1002,127208525,0.921406411582213,0.491179713340684
"22",22,1570,2,"glmnet",1002,110520095,0.948293691830403,0.966955851166378
"23",23,1570,3,"glmnet",1002,88006844,0.96277145811789,0.967054263565892
"24",24,1570,4,"glmnet",1002,71371257,0.950361944157187,0.968539696957186
"25",25,1570,5,"glmnet",1002,83105955,0.936918304033092,0.976717235566793
"26",26,1570,6,"glmnet",1002,52186710,0.956566701137539,0.970832777555467
"27",27,1570,7,"glmnet",1002,98409771,0.955532574974147,0.981415076151918
"28",28,1570,8,"glmnet",1002,147356941,0.955532574974147,0.976603305077489
"29",29,1570,9,"glmnet",1002,108889782,0.0558428128231644,0.5
"30",30,1570,10,"glmnet",1002,115590655,0.960703205791106,0.984261267775368
"31",31,1570,11,"glmnet",1002,82085632,0.956566701137539,0.975425982468236
"32",32,1570,12,"glmnet",1002,102008277,0.958634953464323,0.973833978035659
"33",33,1570,13,"glmnet",1002,54234870,0.947259565667011,0.972117901445317
"34",34,1570,14,"glmnet",1002,94034175,0.950361944157187,0.981441724123694
"35",35,1570,15,"glmnet",1002,106750719,0.896587383660807,0.475328947368421
"36",36,1570,16,"glmnet",1002,106046560,0.0568769389865564,0.5
"37",37,1570,17,"glmnet",1002,140865977,0.937952430196484,0.96803990743902
"38",38,1570,18,"glmnet",1002,105639824,0.0558428128231644,0.5
"39",39,1570,19,"glmnet",1002,74871846,0.953464322647363,0.982793709528215
"40",40,1570,20,"glmnet",1002,107049874,0.942088934850052,0.980948869223205
"41",41,1570,1,"glmnet",1003,12912408,0.937952430196484,0.5
"42",42,1570,2,"glmnet",1003,10759742,0.94105480868666,0.5
"43",43,1570,3,"glmnet",1003,13238761,0.955532574974147,0.5
"44",44,1570,4,"glmnet",1003,10663425,0.945191313340228,0.5
"45",45,1570,5,"glmnet",1003,11157549,0.934850051706308,0.5
"46",46,1570,6,"glmnet",1003,12580135,0.949327817993795,0.5
"47",47,1570,7,"glmnet",1003,12465395,0.94105480868666,0.5
"48",48,1570,8,"glmnet",1003,12577794,0.947259565667011,0.5
"49",49,1570,9,"glmnet",1003,11708441,0.944157187176836,0.5
"50",50,1570,10,"glmnet",1003,16947839,0.953464322647363,0.5
"51",51,1570,11,"glmnet",1003,12421194,0.954498448810755,0.5
"52",52,1570,12,"glmnet",1003,11879575,0.949327817993795,0.5
"53",53,1570,13,"glmnet",1003,14141366,0.940020682523268,0.5
"54",54,1570,14,"glmnet",1003,14390497,0.945191313340228,0.5
