"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,1067,1,"glmnet",1001,20995386,0.821852731591449,0.5
"2",2,1067,2,"glmnet",1001,15136207,0.862232779097387,0.5
"3",3,1067,3,"glmnet",1001,9276651,0.833729216152019,0.5
"4",4,1067,4,"glmnet",1001,8118923,0.864608076009501,0.5
"5",5,1067,5,"glmnet",1001,8078875,0.857482185273159,0.5
"6",6,1067,6,"glmnet",1001,8017885,0.852731591448931,0.5
"7",7,1067,7,"glmnet",1001,12657321,0.855106888361045,0.5
"8",8,1067,8,"glmnet",1001,10954748,0.850356294536817,0.5
"9",9,1067,9,"glmnet",1001,8447115,0.845605700712589,0.5
"10",10,1067,10,"glmnet",1001,8733398,0.859857482185273,0.5
"11",11,1067,11,"glmnet",1001,9892596,0.836104513064133,0.5
"12",12,1067,12,"glmnet",1001,9291584,0.821852731591449,0.5
"13",13,1067,13,"glmnet",1001,8172334,0.845605700712589,0.5
"14",14,1067,14,"glmnet",1001,9648000,0.814726840855107,0.5
"15",15,1067,15,"glmnet",1001,8009424,0.838479809976247,0.5
"16",16,1067,16,"glmnet",1001,10578906,0.824228028503563,0.5
"17",17,1067,17,"glmnet",1001,9706385,0.855106888361045,0.5
"18",18,1067,18,"glmnet",1001,9848637,0.847980997624703,0.5
"19",19,1067,19,"glmnet",1001,8337200,0.843230403800475,0.5
"20",20,1067,20,"glmnet",1001,8305508,0.831353919239905,0.5
"21",21,1067,1,"glmnet",1002,57025585,0.838479809976247,0.830308285163777
"22",22,1067,2,"glmnet",1002,54934650,0.878859857482185,0.829771064880783
"23",23,1067,3,"glmnet",1002,83834209,0.838479809976247,0.814550264550265
"24",24,1067,4,"glmnet",1002,54325474,0.852731591448931,0.784220165799113
"25",25,1067,5,"glmnet",1002,64787760,0.869358669833729,0.839035087719298
"26",26,1067,6,"glmnet",1002,65751491,0.864608076009501,0.832150238116632
"27",27,1067,7,"glmnet",1002,81964199,0.859857482185273,0.832285974499089
"28",28,1067,8,"glmnet",1002,53987359,0.864608076009501,0.816640063846768
"29",29,1067,9,"glmnet",1002,70272465,0.864608076009501,0.786387208297321
"30",30,1067,10,"glmnet",1002,52819004,0.859857482185273,0.758146830227549
"31",31,1067,11,"glmnet",1002,52854635,0.847980997624703,0.773138998682477
"32",32,1067,12,"glmnet",1002,76164581,0.840855106888361,0.800635838150289
"33",33,1067,13,"glmnet",1002,74467585,0.852731591448931,0.787899740708729
"34",34,1067,14,"glmnet",1002,84154185,0.831353919239905,0.829315242580549
"35",35,1067,15,"glmnet",1002,99780030,0.836104513064133,0.791930511581403
"36",36,1067,16,"glmnet",1002,71733647,0.831353919239905,0.771068619051328
"37",37,1067,17,"glmnet",1002,51658364,0.862232779097387,0.767622950819672
"38",38,1067,18,"glmnet",1002,103399118,0.855106888361045,0.793855042016807
"39",39,1067,19,"glmnet",1002,68787202,0.862232779097387,0.871745625266752
"40",40,1067,20,"glmnet",1002,98850616,0.845605700712589,0.807364185110664
"41",41,1067,1,"glmnet",1003,7959678,0.821852731591449,0.5
"42",42,1067,2,"glmnet",1003,8902018,0.862232779097387,0.5
"43",43,1067,3,"glmnet",1003,10321476,0.833729216152019,0.5
"44",44,1067,4,"glmnet",1003,9695786,0.864608076009501,0.5
"45",45,1067,5,"glmnet",1003,14419602,0.857482185273159,0.5
"46",46,1067,6,"glmnet",1003,7712182,0.852731591448931,0.5
"47",47,1067,7,"glmnet",1003,8069748,0.855106888361045,0.5
"48",48,1067,8,"glmnet",1003,8312409,0.850356294536817,0.5
"49",49,1067,9,"glmnet",1003,8652746,0.845605700712589,0.5
"50",50,1067,10,"glmnet",1003,8276937,0.859857482185273,0.5
"51",51,1067,11,"glmnet",1003,8012643,0.836104513064133,0.5
"52",52,1067,12,"glmnet",1003,8430307,0.821852731591449,0.5
"53",53,1067,13,"glmnet",1003,10284988,0.845605700712589,0.5
"54",54,1067,14,"glmnet",1003,9690852,0.814726840855107,0.5
"55",55,1067,15,"glmnet",1003,10121336,0.838479809976247,0.5
"56",56,1067,16,"glmnet",1003,9377413,0.824228028503563,0.5
"57",57,1067,17,"glmnet",1003,10323629,0.855106888361045,0.5
"58",58,1067,18,"glmnet",1003,9554598,0.847980997624703,0.5
"59",59,1067,19,"glmnet",1003,9125029,0.843230403800475,0.5
"60",60,1067,20,"glmnet",1003,9686566,0.831353919239905,0.5
"61",61,1067,1,"glmnet",1004,13739851,0.821852731591449,0.5
"62",62,1067,2,"glmnet",1004,9568427,0.862232779097387,0.5
"63",63,1067,3,"glmnet",1004,8534972,0.833729216152019,0.5
"64",64,1067,4,"glmnet",1004,7832040,0.864608076009501,0.5
"65",65,1067,5,"glmnet",1004,7959091,0.857482185273159,0.5
"66",66,1067,6,"glmnet",1004,11859065,0.852731591448931,0.5
"67",67,1067,7,"glmnet",1004,9896619,0.855106888361045,0.5
"68",68,1067,8,"glmnet",1004,8699043,0.850356294536817,0.5
"69",69,1067,9,"glmnet",1004,9288250,0.845605700712589,0.5
"70",70,1067,10,"glmnet",1004,9680882,0.859857482185273,0.5
"71",71,1067,11,"glmnet",1004,13374959,0.836104513064133,0.5
"72",72,1067,12,"glmnet",1004,9746593,0.821852731591449,0.5
"73",73,1067,13,"glmnet",1004,8291241,0.845605700712589,0.5
"74",74,1067,14,"glmnet",1004,7971503,0.814726840855107,0.5
"75",75,1067,15,"glmnet",1004,7952968,0.838479809976247,0.5
"76",76,1067,16,"glmnet",1004,7895531,0.824228028503563,0.5
"77",77,1067,17,"glmnet",1004,9125101,0.855106888361045,0.5
"78",78,1067,18,"glmnet",1004,8010027,0.847980997624703,0.5
"79",79,1067,19,"glmnet",1004,8235243,0.843230403800475,0.5
"80",80,1067,20,"glmnet",1004,8032936,0.831353919239905,0.5
"81",81,1067,1,"glmnet",1005,9737115,0.821852731591449,0.5
"82",82,1067,2,"glmnet",1005,9796632,0.862232779097387,0.5
"83",83,1067,3,"glmnet",1005,8088837,0.833729216152019,0.5
"84",84,1067,4,"glmnet",1005,8689133,0.864608076009501,0.5
"85",85,1067,5,"glmnet",1005,7999042,0.857482185273159,0.5
"86",86,1067,6,"glmnet",1005,10101171,0.852731591448931,0.5
"87",87,1067,7,"glmnet",1005,10980874,0.855106888361045,0.5
"88",88,1067,8,"glmnet",1005,8069702,0.850356294536817,0.5
"89",89,1067,9,"glmnet",1005,7962152,0.845605700712589,0.5
"90",90,1067,10,"glmnet",1005,8546606,0.859857482185273,0.5
"91",91,1067,11,"glmnet",1005,8599044,0.836104513064133,0.5
"92",92,1067,12,"glmnet",1005,10521435,0.821852731591449,0.5
"93",93,1067,13,"glmnet",1005,8176713,0.845605700712589,0.5
"94",94,1067,14,"glmnet",1005,7949523,0.814726840855107,0.5
"95",95,1067,15,"glmnet",1005,8235797,0.838479809976247,0.5
"96",96,1067,16,"glmnet",1005,8206851,0.824228028503563,0.5
"97",97,1067,17,"glmnet",1005,9911921,0.855106888361045,0.5
"98",98,1067,18,"glmnet",1005,8674618,0.847980997624703,0.5
"99",99,1067,19,"glmnet",1005,8795659,0.843230403800475,0.5
"100",100,1067,20,"glmnet",1005,9280363,0.831353919239905,0.5
"101",101,1067,1,"glmnet",1006,92794819,0.838479809976247,0.82907514450867
"102",102,1067,2,"glmnet",1006,115296528,0.881235154394299,0.835993160444571
"103",103,1067,3,"glmnet",1006,117890531,0.833729216152019,0.814753764753765
"104",104,1067,4,"glmnet",1006,83062158,0.857482185273159,0.790148448043185
"105",105,1067,5,"glmnet",1006,150723471,0.866983372921615,0.838827331486611
"106",106,1067,6,"glmnet",1006,122083532,0.862232779097387,0.830353131458352
"107",107,1067,7,"glmnet",1006,107782147,0.855106888361045,0.831511839708561
"108",108,1067,8,"glmnet",1006,91331034,0.866983372921615,0.823046909639088
"109",109,1067,9,"glmnet",1006,112918683,0.862232779097387,0.788677614520311
"110",110,1067,10,"glmnet",1006,129478354,0.862232779097387,0.758451165839498
"111",111,1067,11,"glmnet",1006,135342903,0.845605700712589,0.77243906455863
"112",112,1067,12,"glmnet",1006,135792080,0.836104513064133,0.803487475915222
"113",113,1067,13,"glmnet",1006,134219939,0.855106888361045,0.784356093344857
"114",114,1067,14,"glmnet",1006,138703452,0.831353919239905,0.831464453913433
"115",115,1067,15,"glmnet",1006,140058028,0.833729216152019,0.795367438760207
"116",116,1067,16,"glmnet",1006,125988124,0.826603325415677,0.772081158968767
"117",117,1067,17,"glmnet",1006,99659384,0.864608076009501,0.769899817850638
"118",118,1067,18,"glmnet",1006,101856406,0.847980997624703,0.792104341736695
"119",119,1067,19,"glmnet",1006,125800778,0.866983372921615,0.872983354673496
"120",120,1067,20,"glmnet",1006,141237687,0.850356294536817,0.805271629778672
"121",121,1067,1,"glmnet",1007,7808374,0.821852731591449,0.5
"122",122,1067,2,"glmnet",1007,8151606,0.862232779097387,0.5
"123",123,1067,3,"glmnet",1007,9116251,0.833729216152019,0.5
"124",124,1067,4,"glmnet",1007,11005523,0.864608076009501,0.5
"125",125,1067,5,"glmnet",1007,9727565,0.857482185273159,0.5
"126",126,1067,6,"glmnet",1007,9811852,0.852731591448931,0.5
"127",127,1067,7,"glmnet",1007,9571343,0.855106888361045,0.5
"128",128,1067,8,"glmnet",1007,9782702,0.850356294536817,0.5
"129",129,1067,9,"glmnet",1007,10422773,0.845605700712589,0.5
"130",130,1067,10,"glmnet",1007,8486551,0.859857482185273,0.5
"131",131,1067,11,"glmnet",1007,8291504,0.836104513064133,0.5
"132",132,1067,12,"glmnet",1007,8080795,0.821852731591449,0.5
"133",133,1067,13,"glmnet",1007,8318056,0.845605700712589,0.5
"134",134,1067,14,"glmnet",1007,11254411,0.814726840855107,0.5
"135",135,1067,15,"glmnet",1007,9335473,0.838479809976247,0.5
"136",136,1067,16,"glmnet",1007,10184178,0.824228028503563,0.5
"137",137,1067,17,"glmnet",1007,9438593,0.855106888361045,0.5
"138",138,1067,18,"glmnet",1007,9044575,0.847980997624703,0.5
"139",139,1067,19,"glmnet",1007,10327500,0.843230403800475,0.5
"140",140,1067,20,"glmnet",1007,8132195,0.831353919239905,0.5
"141",141,1067,1,"glmnet",1008,8118896,0.821852731591449,0.5
"142",142,1067,2,"glmnet",1008,8986041,0.862232779097387,0.5
"143",143,1067,3,"glmnet",1008,9670897,0.833729216152019,0.5
"144",144,1067,4,"glmnet",1008,10089099,0.864608076009501,0.5
"145",145,1067,5,"glmnet",1008,8486220,0.857482185273159,0.5
"146",146,1067,6,"glmnet",1008,8043235,0.852731591448931,0.5
"147",147,1067,7,"glmnet",1008,9538909,0.855106888361045,0.5
"148",148,1067,8,"glmnet",1008,7838998,0.850356294536817,0.5
"149",149,1067,9,"glmnet",1008,9816497,0.845605700712589,0.5
"150",150,1067,10,"glmnet",1008,11942169,0.859857482185273,0.5
"151",151,1067,11,"glmnet",1008,8345981,0.836104513064133,0.5
"152",152,1067,12,"glmnet",1008,9066516,0.821852731591449,0.5
"153",153,1067,13,"glmnet",1008,7882059,0.845605700712589,0.5
"154",154,1067,14,"glmnet",1008,8130845,0.814726840855107,0.5
"155",155,1067,15,"glmnet",1008,8155633,0.838479809976247,0.5
"156",156,1067,16,"glmnet",1008,9377051,0.824228028503563,0.5
"157",157,1067,17,"glmnet",1008,9635316,0.855106888361045,0.5
"158",158,1067,18,"glmnet",1008,9452697,0.847980997624703,0.5
"159",159,1067,19,"glmnet",1008,9907164,0.843230403800475,0.5
"160",160,1067,20,"glmnet",1008,7788467,0.831353919239905,0.5
"161",161,1067,1,"glmnet",1009,19706072,0.845605700712589,0.818208092485549
"162",162,1067,2,"glmnet",1009,20754862,0.871733966745843,0.822599031062981
"163",163,1067,3,"glmnet",1009,18287163,0.826603325415677,0.806593406593407
"164",164,1067,4,"glmnet",1009,18837083,0.859857482185273,0.779063042220937
"165",165,1067,5,"glmnet",1009,16545004,0.869358669833729,0.835664819944598
"166",166,1067,6,"glmnet",1009,17844556,0.862232779097387,0.8333857489442
"167",167,1067,7,"glmnet",1009,16963518,0.859857482185273,0.833993624772313
"168",168,1067,8,"glmnet",1009,17427624,0.864608076009501,0.810122372971535
"169",169,1067,9,"glmnet",1009,16588078,0.864608076009501,0.777744165946413
"170",170,1067,10,"glmnet",1009,17609858,0.855106888361045,0.754073415113775
"171",171,1067,11,"glmnet",1009,18348330,0.843230403800475,0.75588768115942
"172",172,1067,12,"glmnet",1009,17462448,0.828978622327791,0.790269749518304
"173",173,1067,13,"glmnet",1009,17242218,0.859857482185273,0.789844425237684
"174",174,1067,14,"glmnet",1009,16346649,0.828978622327791,0.822306944755924
"175",175,1067,15,"glmnet",1009,27304486,0.840855106888361,0.788201966338943
"176",176,1067,16,"glmnet",1009,16308043,0.828978622327791,0.763941895786276
"177",177,1067,17,"glmnet",1009,16832598,0.862232779097387,0.754804189435337
"178",178,1067,18,"glmnet",1009,19220763,0.847980997624703,0.788230917366947
"179",179,1067,19,"glmnet",1009,18078273,0.864608076009501,0.86562099871959
"180",180,1067,20,"glmnet",1009,19143849,0.847980997624703,0.7941046277666
"181",181,1067,1,"glmnet",1010,9685344,0.821852731591449,0.5
"182",182,1067,2,"glmnet",1010,7936833,0.862232779097387,0.5
"183",183,1067,3,"glmnet",1010,8051182,0.833729216152019,0.5
"184",184,1067,4,"glmnet",1010,13332679,0.864608076009501,0.5
"185",185,1067,5,"glmnet",1010,9455357,0.857482185273159,0.5
"186",186,1067,6,"glmnet",1010,9123560,0.852731591448931,0.5
"187",187,1067,7,"glmnet",1010,9812644,0.855106888361045,0.5
"188",188,1067,8,"glmnet",1010,8024553,0.850356294536817,0.5
"189",189,1067,9,"glmnet",1010,10774209,0.845605700712589,0.5
"190",190,1067,10,"glmnet",1010,10191453,0.859857482185273,0.5
"191",191,1067,11,"glmnet",1010,9905184,0.836104513064133,0.5
"192",192,1067,12,"glmnet",1010,9814547,0.821852731591449,0.5
"193",193,1067,13,"glmnet",1010,7868105,0.845605700712589,0.5
"194",194,1067,14,"glmnet",1010,9954550,0.814726840855107,0.5
