"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,31,1,"glmnet",1001,22929110,0.65,0.5
"2",2,31,2,"glmnet",1001,32063850,0.66,0.5
"3",3,31,3,"glmnet",1001,26311601,0.73,0.5
"4",4,31,4,"glmnet",1001,18774402,0.715,0.5
"5",5,31,5,"glmnet",1001,16968490,0.71,0.5
"6",6,31,6,"glmnet",1001,18162959,0.7,0.5
"7",7,31,7,"glmnet",1001,18302326,0.655,0.5
"8",8,31,8,"glmnet",1001,18124338,0.675,0.5
"9",9,31,9,"glmnet",1001,22838120,0.735,0.5
"10",10,31,10,"glmnet",1001,22830344,0.755,0.5
"11",11,31,11,"glmnet",1001,23286700,0.675,0.5
"12",12,31,12,"glmnet",1001,22604738,0.73,0.5
"13",13,31,13,"glmnet",1001,21144515,0.75,0.5
"14",14,31,14,"glmnet",1001,19037959,0.745,0.5
"15",15,31,15,"glmnet",1001,18169905,0.675,0.5
"16",16,31,16,"glmnet",1001,19118017,0.685,0.5
"17",17,31,17,"glmnet",1001,18032553,0.7,0.5
"18",18,31,18,"glmnet",1001,18175774,0.68,0.5
"19",19,31,19,"glmnet",1001,18158652,0.705,0.5
"20",20,31,20,"glmnet",1001,23524058,0.65,0.5
"21",21,31,1,"glmnet",1002,60111657,0.745,0.78043956043956
"22",22,31,2,"glmnet",1002,45990279,0.725,0.748328877005348
"23",23,31,3,"glmnet",1002,59383435,0.76,0.793759512937595
"24",24,31,4,"glmnet",1002,75033599,0.76,0.79401300453932
"25",25,31,5,"glmnet",1002,62909522,0.76,0.804031083050024
"26",26,31,6,"glmnet",1002,47265423,0.755,0.799285714285714
"27",27,31,7,"glmnet",1002,46897620,0.745,0.82564442969355
"28",28,31,8,"glmnet",1002,58479669,0.775,0.795441595441595
"29",29,31,9,"glmnet",1002,62753198,0.77,0.79527660120652
"30",30,31,10,"glmnet",1002,50567010,0.77,0.819570212190837
"31",31,31,11,"glmnet",1002,43184340,0.78,0.817207977207977
"32",32,31,12,"glmnet",1002,55925498,0.755,0.759639776763064
"33",33,31,13,"glmnet",1002,53625045,0.765,0.743866666666667
"34",34,31,14,"glmnet",1002,55704642,0.755,0.804711146203448
"35",35,31,15,"glmnet",1002,55503369,0.69,0.759088319088319
"36",36,31,16,"glmnet",1002,51990502,0.72,0.790290812188622
"37",37,31,17,"glmnet",1002,48380651,0.73,0.797261904761905
"38",38,31,18,"glmnet",1002,47798665,0.78,0.806640625
"39",39,31,19,"glmnet",1002,52935837,0.705,0.75165284288977
"40",40,31,20,"glmnet",1002,51535203,0.76,0.856043956043956
"41",41,31,1,"glmnet",1003,20660408,0.65,0.5
"42",42,31,2,"glmnet",1003,21728047,0.66,0.5
"43",43,31,3,"glmnet",1003,18755709,0.73,0.5
"44",44,31,4,"glmnet",1003,19372905,0.715,0.5
"45",45,31,5,"glmnet",1003,18354290,0.71,0.5
"46",46,31,6,"glmnet",1003,18820544,0.7,0.5
"47",47,31,7,"glmnet",1003,18776821,0.655,0.5
"48",48,31,8,"glmnet",1003,16885201,0.675,0.5
"49",49,31,9,"glmnet",1003,29256118,0.735,0.5
"50",50,31,10,"glmnet",1003,20711335,0.755,0.5
"51",51,31,11,"glmnet",1003,19045299,0.675,0.5
"52",52,31,12,"glmnet",1003,18920499,0.73,0.5
"53",53,31,13,"glmnet",1003,20184830,0.75,0.5
"54",54,31,14,"glmnet",1003,20210633,0.745,0.5
"55",55,31,15,"glmnet",1003,23325576,0.675,0.5
"56",56,31,16,"glmnet",1003,23846674,0.685,0.5
"57",57,31,17,"glmnet",1003,23673316,0.7,0.5
"58",58,31,18,"glmnet",1003,18911588,0.68,0.5
"59",59,31,19,"glmnet",1003,34273597,0.705,0.5
"60",60,31,20,"glmnet",1003,23746088,0.65,0.5
"61",61,31,1,"glmnet",1004,23383487,0.65,0.5
"62",62,31,2,"glmnet",1004,25206661,0.66,0.5
"63",63,31,3,"glmnet",1004,23227017,0.73,0.5
"64",64,31,4,"glmnet",1004,23006232,0.715,0.5
"65",65,31,5,"glmnet",1004,19699969,0.71,0.5
"66",66,31,6,"glmnet",1004,20056268,0.7,0.5
"67",67,31,7,"glmnet",1004,19483009,0.655,0.5
"68",68,31,8,"glmnet",1004,20354345,0.675,0.5
"69",69,31,9,"glmnet",1004,20552300,0.735,0.5
"70",70,31,10,"glmnet",1004,23509971,0.755,0.5
"71",71,31,11,"glmnet",1004,27679261,0.675,0.5
"72",72,31,12,"glmnet",1004,24113593,0.73,0.5
"73",73,31,13,"glmnet",1004,19904839,0.75,0.5
"74",74,31,14,"glmnet",1004,19940808,0.745,0.5
"75",75,31,15,"glmnet",1004,20400919,0.675,0.5
"76",76,31,16,"glmnet",1004,19642390,0.685,0.5
"77",77,31,17,"glmnet",1004,24469679,0.7,0.5
"78",78,31,18,"glmnet",1004,25445222,0.68,0.5
"79",79,31,19,"glmnet",1004,23383430,0.705,0.5
"80",80,31,20,"glmnet",1004,20237997,0.65,0.5
"81",81,31,1,"glmnet",1005,19630591,0.65,0.5
"82",82,31,2,"glmnet",1005,21556929,0.66,0.5
"83",83,31,3,"glmnet",1005,18846605,0.73,0.5
"84",84,31,4,"glmnet",1005,17872940,0.715,0.5
"85",85,31,5,"glmnet",1005,18560799,0.71,0.5
"86",86,31,6,"glmnet",1005,18266581,0.7,0.5
"87",87,31,7,"glmnet",1005,26594913,0.655,0.5
"88",88,31,8,"glmnet",1005,18289409,0.675,0.5
"89",89,31,9,"glmnet",1005,19695211,0.735,0.5
"90",90,31,10,"glmnet",1005,17533246,0.755,0.5
"91",91,31,11,"glmnet",1005,19191869,0.675,0.5
"92",92,31,12,"glmnet",1005,19599782,0.73,0.5
"93",93,31,13,"glmnet",1005,18778878,0.75,0.5
"94",94,31,14,"glmnet",1005,23566172,0.745,0.5
"95",95,31,15,"glmnet",1005,30922404,0.675,0.5
"96",96,31,16,"glmnet",1005,26745910,0.685,0.5
"97",97,31,17,"glmnet",1005,20211311,0.7,0.5
"98",98,31,18,"glmnet",1005,18706383,0.68,0.5
"99",99,31,19,"glmnet",1005,26909767,0.705,0.5
"100",100,31,20,"glmnet",1005,18562755,0.65,0.5
"101",101,31,1,"glmnet",1006,76020611,0.755,0.774835164835165
"102",102,31,2,"glmnet",1006,73706653,0.73,0.7474376114082
"103",103,31,3,"glmnet",1006,75834089,0.755,0.789193302891933
"104",104,31,4,"glmnet",1006,64437411,0.755,0.794258373205742
"105",105,31,5,"glmnet",1006,77137706,0.76,0.803909664885867
"106",106,31,6,"glmnet",1006,58086475,0.76,0.7975
"107",107,31,7,"glmnet",1006,82005763,0.745,0.825201902865361
"108",108,31,8,"glmnet",1006,66610732,0.775,0.794643874643875
"109",109,31,9,"glmnet",1006,59771257,0.76,0.794891541522269
"110",110,31,10,"glmnet",1006,103998263,0.77,0.816867144208677
"111",111,31,11,"glmnet",1006,61022417,0.775,0.816182336182336
"112",112,31,12,"glmnet",1006,85251624,0.75,0.756341958396753
"113",113,31,13,"glmnet",1006,77836721,0.76,0.739733333333333
"114",114,31,14,"glmnet",1006,75974005,0.76,0.801421239636794
"115",115,31,15,"glmnet",1006,80786810,0.69,0.757150997150997
"116",116,31,16,"glmnet",1006,73301086,0.72,0.788205306453482
"117",117,31,17,"glmnet",1006,74491012,0.72,0.794642857142857
"118",118,31,18,"glmnet",1006,65118245,0.785,0.801585477941177
"119",119,31,19,"glmnet",1006,54009642,0.71,0.750931602356052
"120",120,31,20,"glmnet",1006,66167829,0.755,0.852527472527473
"121",121,31,1,"glmnet",1007,23256789,0.65,0.5
"122",122,31,2,"glmnet",1007,20910619,0.66,0.5
"123",123,31,3,"glmnet",1007,25718022,0.73,0.5
"124",124,31,4,"glmnet",1007,29832562,0.715,0.5
"125",125,31,5,"glmnet",1007,26549157,0.71,0.5
"126",126,31,6,"glmnet",1007,27678249,0.7,0.5
"127",127,31,7,"glmnet",1007,26275522,0.655,0.5
"128",128,31,8,"glmnet",1007,26577343,0.675,0.5
"129",129,31,9,"glmnet",1007,26322106,0.735,0.5
"130",130,31,10,"glmnet",1007,26333115,0.755,0.5
"131",131,31,11,"glmnet",1007,26018011,0.675,0.5
"132",132,31,12,"glmnet",1007,25733339,0.73,0.5
"133",133,31,13,"glmnet",1007,27441688,0.75,0.5
"134",134,31,14,"glmnet",1007,25909458,0.745,0.5
"135",135,31,15,"glmnet",1007,24354030,0.675,0.5
"136",136,31,16,"glmnet",1007,25145732,0.685,0.5
"137",137,31,17,"glmnet",1007,21396823,0.7,0.5
"138",138,31,18,"glmnet",1007,20657024,0.68,0.5
"139",139,31,19,"glmnet",1007,17814217,0.705,0.5
"140",140,31,20,"glmnet",1007,19342704,0.65,0.5
"141",141,31,1,"glmnet",1008,22208075,0.65,0.5
"142",142,31,2,"glmnet",1008,24046001,0.66,0.5
"143",143,31,3,"glmnet",1008,22968305,0.73,0.5
"144",144,31,4,"glmnet",1008,22494374,0.715,0.5
"145",145,31,5,"glmnet",1008,22730186,0.71,0.5
"146",146,31,6,"glmnet",1008,22547395,0.7,0.5
"147",147,31,7,"glmnet",1008,21722681,0.655,0.5
"148",148,31,8,"glmnet",1008,22665550,0.675,0.5
"149",149,31,9,"glmnet",1008,47068556,0.735,0.5
"150",150,31,10,"glmnet",1008,19150391,0.755,0.5
"151",151,31,11,"glmnet",1008,26305150,0.675,0.5
"152",152,31,12,"glmnet",1008,19073626,0.73,0.5
"153",153,31,13,"glmnet",1008,26009031,0.75,0.5
"154",154,31,14,"glmnet",1008,37687642,0.745,0.5
"155",155,31,15,"glmnet",1008,25528549,0.675,0.5
"156",156,31,16,"glmnet",1008,22382310,0.685,0.5
"157",157,31,17,"glmnet",1008,19031640,0.7,0.5
"158",158,31,18,"glmnet",1008,22105769,0.68,0.5
"159",159,31,19,"glmnet",1008,20104201,0.705,0.5
"160",160,31,20,"glmnet",1008,17990837,0.65,0.5
"161",161,31,1,"glmnet",1009,33150085,0.735,0.799230769230769
"162",162,31,2,"glmnet",1009,29727912,0.71,0.746100713012478
"163",163,31,3,"glmnet",1009,30095148,0.78,0.795915778792491
"164",164,31,4,"glmnet",1009,30238120,0.76,0.800024536866642
"165",165,31,5,"glmnet",1009,29888272,0.755,0.813258863525984
"166",166,31,6,"glmnet",1009,28316852,0.765,0.788571428571429
"167",167,31,7,"glmnet",1009,30421650,0.725,0.820334107755283
"168",168,31,8,"glmnet",1009,30317824,0.725,0.780512820512821
"169",169,31,9,"glmnet",1009,30391497,0.755,0.774611731485047
"170",170,31,10,"glmnet",1009,32755285,0.77,0.828895796729288
"171",171,31,11,"glmnet",1009,32013607,0.74,0.810940170940171
"172",172,31,12,"glmnet",1009,28579069,0.785,0.781329274479959
"173",173,31,13,"glmnet",1009,21837229,0.775,0.762933333333333
"174",174,31,14,"glmnet",1009,26357742,0.76,0.81010659297276
"175",175,31,15,"glmnet",1009,23477046,0.7,0.769458689458689
"176",176,31,16,"glmnet",1009,24929388,0.725,0.787973583594022
"177",177,31,17,"glmnet",1009,25223394,0.74,0.801785714285714
"178",178,31,18,"glmnet",1009,24805499,0.775,0.835707720588235
"179",179,31,19,"glmnet",1009,38867879,0.715,0.740473614617141
"180",180,31,20,"glmnet",1009,25874044,0.74,0.852527472527473
"181",181,31,1,"glmnet",1010,18928586,0.65,0.5
"182",182,31,2,"glmnet",1010,19519584,0.66,0.5
"183",183,31,3,"glmnet",1010,24231342,0.73,0.5
"184",184,31,4,"glmnet",1010,18452110,0.715,0.5
"185",185,31,5,"glmnet",1010,21457063,0.71,0.5
"186",186,31,6,"glmnet",1010,21657440,0.7,0.5
