"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,1487,1,"glmnet",1001,17932480,0.942687747035573,0.5
"2",2,1487,2,"glmnet",1001,17220970,0.948616600790514,0.5
"3",3,1487,3,"glmnet",1001,17465399,0.946640316205534,0.5
"4",4,1487,4,"glmnet",1001,14032192,0.940711462450593,0.5
"5",5,1487,5,"glmnet",1001,16561372,0.932806324110672,0.5
"6",6,1487,6,"glmnet",1001,14370306,0.936758893280632,0.5
"7",7,1487,7,"glmnet",1001,24736706,0.952569169960474,0.5
"8",8,1487,8,"glmnet",1001,18394973,0.932806324110672,0.5
"9",9,1487,9,"glmnet",1001,16670787,0.940711462450593,0.5
"10",10,1487,10,"glmnet",1001,12714019,0.944664031620553,0.5
"11",11,1487,11,"glmnet",1001,15133021,0.942687747035573,0.5
"12",12,1487,12,"glmnet",1001,28603414,0.936758893280632,0.5
"13",13,1487,13,"glmnet",1001,17849761,0.946640316205534,0.5
"14",14,1487,14,"glmnet",1001,14953340,0.950592885375494,0.5
"15",15,1487,15,"glmnet",1001,17524190,0.936758893280632,0.5
"16",16,1487,16,"glmnet",1001,17251648,0.946640316205534,0.5
"17",17,1487,17,"glmnet",1001,17392482,0.944664031620553,0.5
"18",18,1487,18,"glmnet",1001,17379586,0.930830039525692,0.5
"19",19,1487,19,"glmnet",1001,18540268,0.946640316205534,0.5
"20",20,1487,20,"glmnet",1001,18527705,0.91501976284585,0.5
"21",21,1487,1,"glmnet",1002,293619627,0.948616600790514,0.927492228728403
"22",22,1487,2,"glmnet",1002,362136401,0.946640316205534,0.874919871794872
"23",23,1487,3,"glmnet",1002,321800822,0.944664031620553,0.933735405551689
"24",24,1487,4,"glmnet",1002,351394236,0.940711462450593,0.923179271708684
"25",25,1487,5,"glmnet",1002,292179958,0.942687747035573,0.923853439680957
"26",26,1487,6,"glmnet",1002,281826504,0.934782608695652,0.899657172995781
"27",27,1487,7,"glmnet",1002,345530510,0.950592885375494,0.942946058091286
"28",28,1487,8,"glmnet",1002,301580006,0.936758893280632,0.913634097706879
"29",29,1487,9,"glmnet",1002,248008046,0.950592885375494,0.903641456582633
"30",30,1487,10,"glmnet",1002,248426625,0.958498023715415,0.931784219964136
"31",31,1487,11,"glmnet",1002,271306011,0.944664031620553,0.892503433817682
"32",32,1487,12,"glmnet",1002,255017903,0.946640316205534,0.897679324894515
"33",33,1487,13,"glmnet",1002,259783048,0.950592885375494,0.895306580066497
"34",34,1487,14,"glmnet",1002,233562773,0.952569169960474,0.932972972972973
"35",35,1487,15,"glmnet",1002,252160046,0.940711462450593,0.879746835443038
"36",36,1487,16,"glmnet",1002,238212900,0.950592885375494,0.927704322276347
"37",37,1487,17,"glmnet",1002,287346754,0.946640316205534,0.921548117154812
"38",38,1487,18,"glmnet",1002,241918704,0.938735177865613,0.928783742796482
"39",39,1487,19,"glmnet",1002,342975361,0.952569169960474,0.925152710121395
"40",40,1487,20,"glmnet",1002,246895785,0.924901185770751,0.912853483349239
"41",41,1487,1,"glmnet",1003,19389405,0.942687747035573,0.5
"42",42,1487,2,"glmnet",1003,19343609,0.948616600790514,0.5
"43",43,1487,3,"glmnet",1003,17517881,0.946640316205534,0.5
"44",44,1487,4,"glmnet",1003,18573362,0.940711462450593,0.5
"45",45,1487,5,"glmnet",1003,17585067,0.932806324110672,0.5
"46",46,1487,6,"glmnet",1003,20124961,0.936758893280632,0.5
"47",47,1487,7,"glmnet",1003,17550847,0.952569169960474,0.5
"48",48,1487,8,"glmnet",1003,12672682,0.932806324110672,0.5
"49",49,1487,9,"glmnet",1003,16094193,0.940711462450593,0.5
"50",50,1487,10,"glmnet",1003,15470707,0.944664031620553,0.5
"51",51,1487,11,"glmnet",1003,18072810,0.942687747035573,0.5
"52",52,1487,12,"glmnet",1003,19039753,0.936758893280632,0.5
"53",53,1487,13,"glmnet",1003,12961310,0.946640316205534,0.5
"54",54,1487,14,"glmnet",1003,17390150,0.950592885375494,0.5
"55",55,1487,15,"glmnet",1003,17963262,0.936758893280632,0.5
"56",56,1487,16,"glmnet",1003,17498150,0.946640316205534,0.5
"57",57,1487,17,"glmnet",1003,17891363,0.944664031620553,0.5
"58",58,1487,18,"glmnet",1003,17429826,0.930830039525692,0.5
"59",59,1487,19,"glmnet",1003,17403338,0.946640316205534,0.5
"60",60,1487,20,"glmnet",1003,17402822,0.91501976284585,0.5
"61",61,1487,1,"glmnet",1004,17368703,0.942687747035573,0.5
"62",62,1487,2,"glmnet",1004,17492462,0.948616600790514,0.5
"63",63,1487,3,"glmnet",1004,17350910,0.946640316205534,0.5
"64",64,1487,4,"glmnet",1004,17890154,0.940711462450593,0.5
"65",65,1487,5,"glmnet",1004,16972957,0.932806324110672,0.5
"66",66,1487,6,"glmnet",1004,18134284,0.936758893280632,0.5
"67",67,1487,7,"glmnet",1004,16906721,0.952569169960474,0.5
"68",68,1487,8,"glmnet",1004,15067647,0.932806324110672,0.5
"69",69,1487,9,"glmnet",1004,17749428,0.940711462450593,0.5
"70",70,1487,10,"glmnet",1004,17417455,0.944664031620553,0.5
"71",71,1487,11,"glmnet",1004,17172480,0.942687747035573,0.5
"72",72,1487,12,"glmnet",1004,17372254,0.936758893280632,0.5
"73",73,1487,13,"glmnet",1004,17610332,0.946640316205534,0.5
"74",74,1487,14,"glmnet",1004,17077610,0.950592885375494,0.5
"75",75,1487,15,"glmnet",1004,17425698,0.936758893280632,0.5
"76",76,1487,16,"glmnet",1004,16830252,0.946640316205534,0.5
"77",77,1487,17,"glmnet",1004,17302805,0.944664031620553,0.5
"78",78,1487,18,"glmnet",1004,17075835,0.930830039525692,0.5
"79",79,1487,19,"glmnet",1004,18051817,0.946640316205534,0.5
"80",80,1487,20,"glmnet",1004,16484285,0.91501976284585,0.5
"81",81,1487,1,"glmnet",1005,17138426,0.942687747035573,0.5
"82",82,1487,2,"glmnet",1005,16655448,0.948616600790514,0.5
"83",83,1487,3,"glmnet",1005,16898229,0.946640316205534,0.5
"84",84,1487,4,"glmnet",1005,16910575,0.940711462450593,0.5
"85",85,1487,5,"glmnet",1005,17127329,0.932806324110672,0.5
"86",86,1487,6,"glmnet",1005,17364426,0.936758893280632,0.5
"87",87,1487,7,"glmnet",1005,17547827,0.952569169960474,0.5
"88",88,1487,8,"glmnet",1005,17307213,0.932806324110672,0.5
"89",89,1487,9,"glmnet",1005,14686886,0.940711462450593,0.5
"90",90,1487,10,"glmnet",1005,17516408,0.944664031620553,0.5
"91",91,1487,11,"glmnet",1005,17290471,0.942687747035573,0.5
"92",92,1487,12,"glmnet",1005,17412383,0.936758893280632,0.5
"93",93,1487,13,"glmnet",1005,17872145,0.946640316205534,0.5
"94",94,1487,14,"glmnet",1005,22775202,0.950592885375494,0.5
"95",95,1487,15,"glmnet",1005,17903853,0.936758893280632,0.5
"96",96,1487,16,"glmnet",1005,18191294,0.946640316205534,0.5
"97",97,1487,17,"glmnet",1005,18297696,0.944664031620553,0.5
"98",98,1487,18,"glmnet",1005,18736291,0.930830039525692,0.5
"99",99,1487,19,"glmnet",1005,17811629,0.946640316205534,0.5
"100",100,1487,20,"glmnet",1005,18279253,0.91501976284585,0.5
"101",101,1487,1,"glmnet",1006,427122957,0.946640316205534,0.927853683221282
"102",102,1487,2,"glmnet",1006,531941602,0.946640316205534,0.88926282051282
"103",103,1487,3,"glmnet",1006,672518709,0.954545454545455,0.933271476068971
"104",104,1487,4,"glmnet",1006,515256649,0.942687747035573,0.928221288515406
"105",105,1487,5,"glmnet",1006,390112297,0.946640316205534,0.931019441674975
"106",106,1487,6,"glmnet",1006,729118029,0.944664031620553,0.911128691983122
"107",107,1487,7,"glmnet",1006,772577186,0.950592885375494,0.93594398340249
"108",108,1487,8,"glmnet",1006,595066073,0.946640316205534,0.906717347956132
"109",109,1487,9,"glmnet",1006,681404918,0.946640316205534,0.912324929971989
"110",110,1487,10,"glmnet",1006,619212857,0.954545454545455,0.932381948595338
"111",111,1487,11,"glmnet",1006,532766812,0.942687747035573,0.896190269645052
"112",112,1487,12,"glmnet",1006,453148711,0.944664031620553,0.900777953586498
"113",113,1487,13,"glmnet",1006,697515505,0.944664031620553,0.909920358772133
"114",114,1487,14,"glmnet",1006,470806888,0.956521739130435,0.934054054054054
"115",115,1487,15,"glmnet",1006,449110302,0.938735177865613,0.876252637130802
"116",116,1487,16,"glmnet",1006,575392141,0.948616600790514,0.926621820150004
"117",117,1487,17,"glmnet",1006,470604310,0.940711462450593,0.928197848176928
"118",118,1487,18,"glmnet",1006,649082723,0.938735177865613,0.930421595389748
"119",119,1487,19,"glmnet",1006,646551083,0.946640316205534,0.921750560581458
"120",120,1487,20,"glmnet",1006,718417285,0.928853754940711,0.910442513436134
"121",121,1487,1,"glmnet",1007,18137616,0.942687747035573,0.5
"122",122,1487,2,"glmnet",1007,18082384,0.948616600790514,0.5
"123",123,1487,3,"glmnet",1007,18439970,0.946640316205534,0.5
"124",124,1487,4,"glmnet",1007,18509286,0.940711462450593,0.5
"125",125,1487,5,"glmnet",1007,17442602,0.932806324110672,0.5
"126",126,1487,6,"glmnet",1007,17133374,0.936758893280632,0.5
"127",127,1487,7,"glmnet",1007,18594818,0.952569169960474,0.5
"128",128,1487,8,"glmnet",1007,18371619,0.932806324110672,0.5
"129",129,1487,9,"glmnet",1007,18323684,0.940711462450593,0.5
"130",130,1487,10,"glmnet",1007,18157871,0.944664031620553,0.5
"131",131,1487,11,"glmnet",1007,18516383,0.942687747035573,0.5
"132",132,1487,12,"glmnet",1007,18372508,0.936758893280632,0.5
"133",133,1487,13,"glmnet",1007,18885604,0.946640316205534,0.5
"134",134,1487,14,"glmnet",1007,17581830,0.950592885375494,0.5
"135",135,1487,15,"glmnet",1007,18132118,0.936758893280632,0.5
"136",136,1487,16,"glmnet",1007,17682242,0.946640316205534,0.5
"137",137,1487,17,"glmnet",1007,17370663,0.944664031620553,0.5
"138",138,1487,18,"glmnet",1007,18701964,0.930830039525692,0.5
"139",139,1487,19,"glmnet",1007,18192333,0.946640316205534,0.5
"140",140,1487,20,"glmnet",1007,18112124,0.91501976284585,0.5
"141",141,1487,1,"glmnet",1008,19617632,0.942687747035573,0.5
"142",142,1487,2,"glmnet",1008,18001137,0.948616600790514,0.5
"143",143,1487,3,"glmnet",1008,17314923,0.946640316205534,0.5
"144",144,1487,4,"glmnet",1008,17546906,0.940711462450593,0.5
"145",145,1487,5,"glmnet",1008,21823029,0.932806324110672,0.5
"146",146,1487,6,"glmnet",1008,18908347,0.936758893280632,0.5
"147",147,1487,7,"glmnet",1008,21346447,0.952569169960474,0.5
"148",148,1487,8,"glmnet",1008,18653995,0.932806324110672,0.5
"149",149,1487,9,"glmnet",1008,18016643,0.940711462450593,0.5
"150",150,1487,10,"glmnet",1008,18394722,0.944664031620553,0.5
"151",151,1487,11,"glmnet",1008,17095718,0.942687747035573,0.5
"152",152,1487,12,"glmnet",1008,18791244,0.936758893280632,0.5
"153",153,1487,13,"glmnet",1008,19381893,0.946640316205534,0.5
"154",154,1487,14,"glmnet",1008,17505417,0.950592885375494,0.5
"155",155,1487,15,"glmnet",1008,17277836,0.936758893280632,0.5
"156",156,1487,16,"glmnet",1008,17619639,0.946640316205534,0.5
"157",157,1487,17,"glmnet",1008,17401285,0.944664031620553,0.5
"158",158,1487,18,"glmnet",1008,17294957,0.930830039525692,0.5
"159",159,1487,19,"glmnet",1008,17564299,0.946640316205534,0.5
"160",160,1487,20,"glmnet",1008,17398240,0.91501976284585,0.5
"161",161,1487,1,"glmnet",1009,34977800,0.942687747035573,0.897563796717993
"162",162,1487,2,"glmnet",1009,46638240,0.948616600790514,0.80713141025641
"163",163,1487,3,"glmnet",1009,44060302,0.946640316205534,0.89638908219284
"164",164,1487,4,"glmnet",1009,37301895,0.940711462450593,0.862114845938375
"165",165,1487,5,"glmnet",1009,32834074,0.932806324110672,0.894192422731805
"166",166,1487,6,"glmnet",1009,36132384,0.936758893280632,0.871044303797468
"167",167,1487,7,"glmnet",1009,42251646,0.952569169960474,0.930497925311203
"168",168,1487,8,"glmnet",1009,41034329,0.932806324110672,0.881542871385842
"169",169,1487,9,"glmnet",1009,41001679,0.940711462450593,0.896778711484594
"170",170,1487,10,"glmnet",1009,43824100,0.944664031620553,0.880753138075314
"171",171,1487,11,"glmnet",1009,42620136,0.942687747035573,0.866044964938914
"172",172,1487,12,"glmnet",1009,41897042,0.936758893280632,0.865506329113924
"173",173,1487,13,"glmnet",1009,45207322,0.946640316205534,0.855176679811335
"174",174,1487,14,"glmnet",1009,41817141,0.950592885375494,0.881580041580042
"175",175,1487,15,"glmnet",1009,37658831,0.936758893280632,0.854760021097046
"176",176,1487,16,"glmnet",1009,39795407,0.946640316205534,0.910925539318024
"177",177,1487,17,"glmnet",1009,39109568,0.944664031620553,0.855200239091452
"178",178,1487,18,"glmnet",1009,35069038,0.930830039525692,0.891537761601456
"179",179,1487,19,"glmnet",1009,36130831,0.946640316205534,0.922214490064177
"180",180,1487,20,"glmnet",1009,31453418,0.91501976284585,0.881109046160028
"181",181,1487,1,"glmnet",1010,18671772,0.942687747035573,0.5
"182",182,1487,2,"glmnet",1010,18978861,0.948616600790514,0.5
"183",183,1487,3,"glmnet",1010,18118400,0.946640316205534,0.5
"184",184,1487,4,"glmnet",1010,17764658,0.940711462450593,0.5
"185",185,1487,5,"glmnet",1010,18020691,0.932806324110672,0.5
"186",186,1487,6,"glmnet",1010,19831720,0.936758893280632,0.5
"187",187,1487,7,"glmnet",1010,31563841,0.952569169960474,0.5
"188",188,1487,8,"glmnet",1010,16680171,0.932806324110672,0.5
"189",189,1487,9,"glmnet",1010,16341010,0.940711462450593,0.5
"190",190,1487,10,"glmnet",1010,17047483,0.944664031620553,0.5
"191",191,1487,11,"glmnet",1010,16753049,0.942687747035573,0.5
"192",192,1487,12,"glmnet",1010,16811637,0.936758893280632,0.5
"193",193,1487,13,"glmnet",1010,16450204,0.946640316205534,0.5
"194",194,1487,14,"glmnet",1010,16674903,0.950592885375494,0.5
"195",195,1487,15,"glmnet",1010,18930937,0.936758893280632,0.5
"196",196,1487,16,"glmnet",1010,20895404,0.946640316205534,0.5
"197",197,1487,17,"glmnet",1010,33171057,0.944664031620553,0.5
"198",198,1487,18,"glmnet",1010,18352710,0.930830039525692,0.5
"199",199,1487,19,"glmnet",1010,18521039,0.946640316205534,0.5
"200",200,1487,20,"glmnet",1010,17695087,0.91501976284585,0.5
"201",201,1487,1,"glmnet",1011,17682657,0.942687747035573,0.5
"202",202,1487,2,"glmnet",1011,17260112,0.948616600790514,0.5
"203",203,1487,3,"glmnet",1011,17239001,0.946640316205534,0.5
"204",204,1487,4,"glmnet",1011,18081425,0.940711462450593,0.5
"205",205,1487,5,"glmnet",1011,18031441,0.932806324110672,0.5
"206",206,1487,6,"glmnet",1011,17997135,0.936758893280632,0.5
"207",207,1487,7,"glmnet",1011,17573308,0.952569169960474,0.5
"208",208,1487,8,"glmnet",1011,17821848,0.932806324110672,0.5
"209",209,1487,9,"glmnet",1011,18391314,0.940711462450593,0.5
"210",210,1487,10,"glmnet",1011,17950853,0.944664031620553,0.5
"211",211,1487,11,"glmnet",1011,22797001,0.942687747035573,0.5
"212",212,1487,12,"glmnet",1011,17924553,0.936758893280632,0.5
"213",213,1487,13,"glmnet",1011,18626610,0.946640316205534,0.5
"214",214,1487,14,"glmnet",1011,18170425,0.950592885375494,0.5
"215",215,1487,15,"glmnet",1011,17830516,0.936758893280632,0.5
"216",216,1487,16,"glmnet",1011,17752233,0.946640316205534,0.5
"217",217,1487,17,"glmnet",1011,18532466,0.944664031620553,0.5
"218",218,1487,18,"glmnet",1011,18022971,0.930830039525692,0.5
"219",219,1487,19,"glmnet",1011,18428631,0.946640316205534,0.5
"220",220,1487,20,"glmnet",1011,15131235,0.91501976284585,0.5
"221",221,1487,1,"glmnet",1012,13474534,0.942687747035573,0.5
"222",222,1487,2,"glmnet",1012,14586830,0.948616600790514,0.5
"223",223,1487,3,"glmnet",1012,16123196,0.946640316205534,0.5
"224",224,1487,4,"glmnet",1012,18114350,0.940711462450593,0.5
"225",225,1487,5,"glmnet",1012,17737210,0.932806324110672,0.5
"226",226,1487,6,"glmnet",1012,18022292,0.936758893280632,0.5
"227",227,1487,7,"glmnet",1012,18417807,0.952569169960474,0.5
"228",228,1487,8,"glmnet",1012,18560257,0.932806324110672,0.5
"229",229,1487,9,"glmnet",1012,17505428,0.940711462450593,0.5
"230",230,1487,10,"glmnet",1012,17682973,0.944664031620553,0.5
"231",231,1487,11,"glmnet",1012,17224955,0.942687747035573,0.5
"232",232,1487,12,"glmnet",1012,17580548,0.936758893280632,0.5
"233",233,1487,13,"glmnet",1012,19178009,0.946640316205534,0.5
"234",234,1487,14,"glmnet",1012,17673913,0.950592885375494,0.5
"235",235,1487,15,"glmnet",1012,17617693,0.936758893280632,0.5
"236",236,1487,16,"glmnet",1012,22689347,0.946640316205534,0.5
"237",237,1487,17,"glmnet",1012,18202742,0.944664031620553,0.5
"238",238,1487,18,"glmnet",1012,17818599,0.930830039525692,0.5
"239",239,1487,19,"glmnet",1012,18480487,0.946640316205534,0.5
"240",240,1487,20,"glmnet",1012,18451727,0.91501976284585,0.5
"241",241,1487,1,"glmnet",1013,75701014,0.944664031620553,0.912166558230319
"242",242,1487,2,"glmnet",1013,102688604,0.948616600790514,0.829727564102564
"243",243,1487,3,"glmnet",1013,81602321,0.944664031620553,0.909611072450321
