"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,1462,1,"glmnet",1001,9424584,0.60948905109489,0.5
"2",2,1462,2,"glmnet",1001,9513308,0.554744525547445,0.5
"3",3,1462,3,"glmnet",1001,9185323,0.583941605839416,0.5
"4",4,1462,4,"glmnet",1001,8368341,0.554744525547445,0.5
"5",5,1462,5,"glmnet",1001,9235270,0.54014598540146,0.5
"6",6,1462,6,"glmnet",1001,9276079,0.547445255474453,0.5
"7",7,1462,7,"glmnet",1001,9665564,0.536496350364963,0.5
"8",8,1462,8,"glmnet",1001,9201184,0.54014598540146,0.5
"9",9,1462,9,"glmnet",1001,9473880,0.569343065693431,0.5
"10",10,1462,10,"glmnet",1001,9081926,0.558394160583942,0.5
"11",11,1462,11,"glmnet",1001,9304720,0.521897810218978,0.5
"12",12,1462,12,"glmnet",1001,9335676,0.543795620437956,0.5
"13",13,1462,13,"glmnet",1001,9088398,0.518248175182482,0.5
"14",14,1462,14,"glmnet",1001,9253818,0.562043795620438,0.5
"15",15,1462,15,"glmnet",1001,9299713,0.547445255474453,0.5
"16",16,1462,16,"glmnet",1001,9135001,0.54014598540146,0.5
"17",17,1462,17,"glmnet",1001,9055583,0.565693430656934,0.5
"18",18,1462,18,"glmnet",1001,9119685,0.5,0.5
"19",19,1462,19,"glmnet",1001,7756175,0.481751824817518,0.5
"20",20,1462,20,"glmnet",1001,7853060,0.54014598540146,0.5
"21",21,1462,1,"glmnet",1002,11058394,0.970802919708029,0.999328445911914
"22",22,1462,2,"glmnet",1002,11356271,0.996350364963504,0.999946074201898
"23",23,1462,3,"glmnet",1002,10688382,0.970802919708029,0.999780701754386
"24",24,1462,4,"glmnet",1002,10873510,0.978102189781022,0.999568593615185
"25",25,1462,5,"glmnet",1002,11712823,0.981751824817518,0.999731874731875
"26",26,1462,6,"glmnet",1002,11071045,0.985401459854015,0.999677419354839
"27",27,1462,7,"glmnet",1002,11202810,0.974452554744526,0.999625046869141
"28",28,1462,8,"glmnet",1002,14849628,0.992700729927007,0.999839124839125
"29",29,1462,9,"glmnet",1002,13630362,0.978102189781022,0.999782703172534
"30",30,1462,10,"glmnet",1002,13065266,0.989051094890511,0.999783935612813
"31",31,1462,11,"glmnet",1002,13254541,0.981751824817518,0.999786473068916
"32",32,1462,12,"glmnet",1002,13334829,0.981751824817518,0.999463087248322
"33",33,1462,13,"glmnet",1002,13468879,0.992700729927007,0.999893299189074
"34",34,1462,14,"glmnet",1002,13257016,0.992700729927007,0.999945887445887
"35",35,1462,15,"glmnet",1002,13695652,0.989051094890511,0.99989247311828
"36",36,1462,16,"glmnet",1002,11672096,0.974452554744526,0.999839124839125
"37",37,1462,17,"glmnet",1002,11615029,0.970802919708029,0.999240986717268
"38",38,1462,18,"glmnet",1002,11268053,0.985401459854015,0.999627044594811
"39",39,1462,19,"glmnet",1002,11257761,0.978102189781022,0.999573196756295
"40",40,1462,20,"glmnet",1002,13515285,0.978102189781022,0.999839124839125
"41",41,1462,1,"glmnet",1003,9906185,0.60948905109489,0.5
"42",42,1462,2,"glmnet",1003,8942364,0.554744525547445,0.5
"43",43,1462,3,"glmnet",1003,8609576,0.583941605839416,0.5
"44",44,1462,4,"glmnet",1003,8399354,0.554744525547445,0.5
"45",45,1462,5,"glmnet",1003,9353694,0.54014598540146,0.5
"46",46,1462,6,"glmnet",1003,10419692,0.547445255474453,0.5
"47",47,1462,7,"glmnet",1003,11758737,0.536496350364963,0.5
"48",48,1462,8,"glmnet",1003,8690198,0.54014598540146,0.5
"49",49,1462,9,"glmnet",1003,8762554,0.569343065693431,0.5
"50",50,1462,10,"glmnet",1003,9903995,0.558394160583942,0.5
"51",51,1462,11,"glmnet",1003,9997653,0.521897810218978,0.5
"52",52,1462,12,"glmnet",1003,8585100,0.543795620437956,0.5
"53",53,1462,13,"glmnet",1003,8383678,0.518248175182482,0.5
"54",54,1462,14,"glmnet",1003,8816508,0.562043795620438,0.5
"55",55,1462,15,"glmnet",1003,10155659,0.547445255474453,0.5
"56",56,1462,16,"glmnet",1003,8296253,0.54014598540146,0.5
"57",57,1462,17,"glmnet",1003,7735939,0.565693430656934,0.5
"58",58,1462,18,"glmnet",1003,7757240,0.5,0.5
"59",59,1462,19,"glmnet",1003,7675499,0.481751824817518,0.5
"60",60,1462,20,"glmnet",1003,9611159,0.54014598540146,0.5
